date,temp_max,temp_min,wind_speed,pressure,dew_point,relative_humidity,pm25
2023-02-14,22.1,9.8,4.7,960.1,7.1,58.0,83.0
2023-02-15,24.1,10.7,3.6,959.6,8.4,57.0,83.0
2023-02-16,26.7,12.8,3.8,961.7,9.4,54.0,82.0
2023-02-17,28.1,14.4,4.9,962.5,10.4,54.0,98.0
2023-02-18,28.6,15.4,5.6,962.0,9.0,49.0,94.0
2023-02-19,28.5,15.0,6.1,960.8,10.5,54.0,89.0
2023-02-20,27.3,14.7,5.5,959.9,12.0,61.0,96.0
2023-02-21,28.0,14.2,5.4,959.4,13.4,65.0,121.0
2023-02-22,26.2,15.3,6.1,957.8,13.1,63.0,112.0
2023-02-23,27.6,13.3,5.4,958.2,10.7,57.0,88.0
2023-02-24,26.2,13.2,6.6,961.5,11.2,61.0,84.0
2023-02-25,25.2,14.1,6.6,964.5,11.7,61.0,112.0
2023-02-26,25.6,14.9,5.1,965.2,11.4,64.0,97.0
2023-02-27,25.9,14.3,5.1,964.1,10.3,58.0,80.0
2023-02-28,25.9,14.5,5.3,964.2,12.2,63.0,111.0
2023-03-01,27.7,15.1,5.8,964.6,11.7,59.0,121.0
2023-03-02,27.8,15.1,6.3,964.1,12.6,60.0,111.0
2023-03-03,26.5,15.2,7.1,964.1,14.7,69.0,108.0
2023-03-04,27.1,15.7,4.8,964.2,14.6,67.0,107.0
2023-03-05,29.3,15.9,6.3,962.7,13.4,59.0,95.0
2023-03-06,29.2,15.0,5.6,961.0,11.2,53.0,78.0
2023-03-07,28.5,14.9,6.6,962.4,8.6,45.0,60.0
2023-03-08,25.0,14.2,5.9,964.2,11.2,61.0,87.0
2023-03-09,27.9,14.1,6.4,962.8,9.2,50.0,83.0
2023-03-10,28.9,14.3,5.4,962.0,8.5,47.0,63.0
2023-03-11,28.9,15.1,5.2,962.6,9.3,48.0,82.0
2023-03-12,29.3,15.5,6.4,961.9,10.5,49.0,106.0
2023-03-13,29.8,16.5,5.1,960.2,12.0,53.0,109.0
2023-03-14,28.0,16.1,5.2,957.7,12.0,57.0,106.0
2023-03-15,27.9,16.1,5.1,957.7,10.5,50.0,92.67
2023-03-16,28.3,17.0,5.5,960.1,11.4,52.0,79.33
2023-03-17,25.2,14.4,3.8,960.5,14.0,70.0,66.0
2023-03-18,26.6,15.7,5.3,958.8,14.4,69.0,52.67
2023-03-19,23.9,15.4,4.6,957.5,15.0,76.0,39.33
2023-03-20,21.9,16.0,3.0,956.5,15.7,86.0,26.0
2023-03-21,22.3,12.8,3.6,956.8,14.6,80.0,20.0
2023-03-22,24.7,13.8,6.4,955.4,12.4,67.0,26.0
2023-03-23,24.9,13.7,6.5,955.7,13.0,64.0,39.0
2023-03-24,26.6,16.2,5.8,957.7,12.9,62.0,52.0
2023-03-25,27.1,16.3,6.3,958.5,13.3,61.0,64.0
2023-03-26,29.1,15.5,8.6,956.0,9.4,45.0,53.0
2023-03-27,27.8,16.2,5.9,955.7,9.2,45.0,55.0
2023-03-28,29.2,15.5,6.0,956.9,9.0,46.0,53.0
2023-03-29,29.1,16.7,5.9,957.8,9.2,43.0,69.0
2023-03-30,28.8,17.0,6.7,956.1,10.2,45.0,97.0
2023-03-31,27.4,15.5,7.0,957.6,15.6,74.0,85.0
2023-04-01,25.1,14.6,4.5,956.4,14.0,70.0,48.0
2023-04-02,24.3,14.9,6.3,954.1,12.9,68.0,38.0
2023-04-03,26.0,15.2,5.4,954.1,13.6,63.0,42.0
2023-04-04,28.7,16.2,6.9,955.3,13.5,60.0,47.0
2023-04-05,28.9,16.7,6.0,955.4,10.9,48.0,41.0
2023-04-06,29.9,16.3,6.4,957.7,10.6,47.0,58.0
2023-04-07,30.1,17.2,5.8,959.9,10.1,43.0,62.0
2023-04-08,30.5,17.0,5.9,961.4,11.0,45.0,66.0
2023-04-09,32.1,18.0,8.5,960.0,7.9,35.0,70.0
2023-04-10,31.7,17.5,6.6,958.1,7.8,35.0,74.0
2023-04-11,31.9,18.3,5.6,958.1,9.3,38.0,110.0
2023-04-12,32.4,18.0,6.3,957.2,11.3,41.0,118.0
2023-04-13,32.9,18.9,6.2,956.3,11.4,39.0,109.0
2023-04-14,33.0,20.3,6.2,957.0,13.2,43.0,116.0
2023-04-15,33.4,22.2,6.9,957.3,14.2,45.0,116.0
2023-04-16,34.9,19.6,7.1,954.8,10.8,37.0,115.0
2023-04-17,35.7,20.2,6.4,955.3,10.8,35.0,176.0
2023-04-18,36.9,21.1,7.1,955.6,9.5,32.0,173.0
2023-04-19,36.2,21.4,6.5,951.5,10.5,33.0,177.0
2023-04-20,34.0,21.3,7.5,950.3,12.2,39.0,170.0
2023-04-21,33.2,19.3,6.5,952.2,11.5,42.0,173.0
2023-04-22,32.2,19.3,7.3,953.2,8.7,36.0,159.0
2023-04-23,30.3,19.2,8.4,956.7,12.2,47.0,161.0
2023-04-24,29.4,17.2,5.5,960.1,13.2,60.0,148.0
2023-04-25,29.6,17.5,4.8,959.1,12.7,52.0,129.0
2023-04-26,30.6,18.0,5.9,956.9,11.9,46.0,145.0
2023-04-27,30.6,18.8,5.2,957.3,13.2,50.0,165.0
2023-04-28,31.6,20.0,6.5,956.6,12.8,47.0,179.0
2023-04-29,30.4,21.5,5.3,956.4,14.3,50.0,158.0
2023-04-30,28.0,20.0,4.8,956.3,17.5,70.0,165.0
